Posicao do objeto 1 Real no Unity: X=-0,7066533, Y=2,221143, Z=3,189785
Posicao do objeto Virtual 1: X=-0,07526639, Y=-0,05154872, Z=0,3744895
Posicao do objeto 1 Real no Unity: X=-0,6474413, Y=2,231356, Z=3,200486
Posicao do objeto Virtual 1: X=-0,07520846, Y=-0,05041993, Z=0,3739446
Posicao do objeto 1 Real no Unity: X=-0,5957447, Y=2,274776, Z=3,187236
Posicao do objeto Virtual 1: X=-0,07629707, Y=-0,0501532, Z=0,3764527
Posicao do objeto 1 Real no Unity: X=-0,6130649, Y=2,229976, Z=3,209274
Posicao do objeto Virtual 1: X=-0,07304871, Y=-0,04951483, Z=0,3730395
Posicao do objeto 1 Real no Unity: X=-0,3967205, Y=2,127314, Z=3,318433
Posicao do objeto Virtual 1: X=-0,07084018, Y=-0,05060107, Z=0,3684391
Posicao do objeto 1 Real no Unity: X=-0,4314284, Y=2,211385, Z=3,249689
Posicao do objeto Virtual 1: X=-0,07090348, Y=-0,05465567, Z=0,3698297
Posicao do objeto 1 Real no Unity: X=-0,6879588, Y=2,318093, Z=3,105274
Posicao do objeto Virtual 1: X=-0,06842694, Y=-0,05846566, Z=0,3740872
Posicao do objeto 1 Real no Unity: X=-0,6284703, Y=2,220362, Z=3,182507
Posicao do objeto Virtual 1: X=-0,06699309, Y=-0,06019264, Z=0,3674343
Posicao do objeto 1 Real no Unity: X=-0,5552685, Y=2,122435, Z=3,25943
Posicao do objeto Virtual 1: X=-0,06596544, Y=-0,06135517, Z=0,36242
Posicao do objeto 1 Real no Unity: X=-0,5212684, Y=2,126618, Z=3,261437
Posicao do objeto Virtual 1: X=-0,06776759, Y=-0,06466758, Z=0,3627629
Posicao do objeto 1 Real no Unity: X=-0,5935225, Y=2,164594, Z=3,21582
Posicao do objeto Virtual 1: X=-0,06842703, Y=-0,06722432, Z=0,3641852
Posicao do objeto 1 Real no Unity: X=-0,5066503, Y=2,15933, Z=3,236504
Posicao do objeto Virtual 1: X=-0,06964785, Y=-0,06937927, Z=0,3631628
Posicao do objeto 1 Real no Unity: X=-0,5717905, Y=2,228737, Z=3,172866
Posicao do objeto Virtual 1: X=-0,06806734, Y=-0,0721156, Z=0,3669816
Posicao do objeto 1 Real no Unity: X=-0,6386132, Y=2,260063, Z=3,127177
Posicao do objeto Virtual 1: X=-0,06726685, Y=-0,07348526, Z=0,3668953
Posicao do objeto 1 Real no Unity: X=-0,7040663, Y=2,302912, Z=3,074636
Posicao do objeto Virtual 1: X=-0,06640112, Y=-0,0739482, Z=0,3688657
Posicao do objeto 1 Real no Unity: X=-0,697551, Y=2,302707, Z=3,081674
Posicao do objeto Virtual 1: X=-0,06485161, Y=-0,07311708, Z=0,3706505
Posicao do objeto 1 Real no Unity: X=-0,6944841, Y=2,345526, Z=3,055355
