Posicao do objeto Virtual: X=-0,07532668, Y=-0,04208899, Z=0,294062
Posicao do objeto Real no Unity: X=-0,2199739, Y=1,054789, Z=3,600055
Posicao do objeto Virtual: X=-0,07543021, Y=-0,04169589, Z=0,2923009
Posicao do objeto Real no Unity: X=-0,2135102, Y=1,083941, Z=3,601819
Posicao do objeto Virtual: X=-0,07562643, Y=-0,0418738, Z=0,2941771
Posicao do objeto Real no Unity: X=-0,1946098, Y=1,058522, Z=3,607495
Posicao do objeto Virtual: X=-0,07566351, Y=-0,04119148, Z=0,2936503
Posicao do objeto Real no Unity: X=-0,2243219, Y=1,069046, Z=3,599716
Posicao do objeto Virtual: X=-0,07515687, Y=-0,0395908, Z=0,2923508
Posicao do objeto Real no Unity: X=-0,2341545, Y=1,099262, Z=3,597885
Posicao do objeto Virtual: X=-0,07517534, Y=-0,03900524, Z=0,2944201
Posicao do objeto Real no Unity: X=-0,238212, Y=1,110006, Z=3,593425
Posicao do objeto Virtual: X=-0,07560492, Y=-0,03963396, Z=0,2932019
Posicao do objeto Real no Unity: X=-0,2484507, Y=1,079329, Z=3,593097
Posicao do objeto Virtual: X=-0,07515615, Y=-0,03933921, Z=0,2921894
Posicao do objeto Real no Unity: X=-0,2181455, Y=1,091785, Z=3,598798
Posicao do objeto Virtual: X=-0,07464078, Y=-0,03961183, Z=0,2936065
Posicao do objeto Real no Unity: X=-0,2685687, Y=1,106976, Z=3,588022
Posicao do objeto Virtual: X=-0,0751465, Y=-0,04017579, Z=0,2934864
Posicao do objeto Real no Unity: X=-0,2657784, Y=1,093827, Z=3,589012
Posicao do objeto Virtual: X=-0,07415992, Y=-0,03954984, Z=0,292906
Posicao do objeto Real no Unity: X=-0,216546, Y=1,079395, Z=3,598104
Posicao do objeto Virtual: X=-0,07400015, Y=-0,03926694, Z=0,2918692
Posicao do objeto Real no Unity: X=-0,2268848, Y=1,073054, Z=3,596081
Posicao do objeto Virtual: X=-0,07458943, Y=-0,03935991, Z=0,2913469
Posicao do objeto Real no Unity: X=-0,2528931, Y=1,080052, Z=3,592553
Posicao do objeto Virtual: X=-0,07417572, Y=-0,03893892, Z=0,2924502
Posicao do objeto Real no Unity: X=-0,2199978, Y=1,106743, Z=3,597759
Posicao do objeto Virtual: X=-0,07393467, Y=-0,04022056, Z=0,2941078
Posicao do objeto Real no Unity: X=-0,219031, Y=1,074582, Z=3,597871
Posicao do objeto Virtual: X=-0,07329977, Y=-0,03946832, Z=0,2916789
Posicao do objeto Real no Unity: X=-0,2315987, Y=1,078364, Z=3,595581
Posicao do objeto Virtual: X=-0,07224923, Y=-0,03917591, Z=0,2919672
Posicao do objeto Real no Unity: X=-0,2066352, Y=1,091381, Z=3,601107
Posicao do objeto Virtual: X=-0,07263824, Y=-0,03972715, Z=0,2936828
Posicao do objeto Real no Unity: X=-0,2056262, Y=1,079322, Z=3,598487
Posicao do objeto Virtual: X=-0,07272443, Y=-0,03991977, Z=0,2913983
Posicao do objeto Real no Unity: X=-0,1984686, Y=1,077472, Z=3,599773
Posicao do objeto Virtual: X=-0,0717501, Y=-0,03950511, Z=0,2910876
Posicao do objeto Real no Unity: X=-0,2094066, Y=1,081342, Z=3,599526
Posicao do objeto Virtual: X=-0,07265085, Y=-0,03963627, Z=0,2920697
Posicao do objeto Real no Unity: X=-0,2028493, Y=1,0931, Z=3,598742
Posicao do objeto Virtual: X=-0,07180566, Y=-0,03834398, Z=0,2911556
Posicao do objeto Real no Unity: X=-0,211567, Y=1,10821, Z=3,597546
Posicao do objeto Virtual: X=-0,0734508, Y=-0,03935776, Z=0,2925134
Posicao do objeto Real no Unity: X=-0,2050442, Y=1,083307, Z=3,598118
Posicao do objeto Virtual: X=-0,07256213, Y=-0,03969524, Z=0,2910615
Posicao do objeto Real no Unity: X=-0,203328, Y=1,080492, Z=3,598314
Posicao do objeto Virtual: X=-0,07261634, Y=-0,04012084, Z=0,2906408
Posicao do objeto Real no Unity: X=-0,1770384, Y=1,071841, Z=3,605341
Posicao do objeto Virtual: X=-0,07431674, Y=-0,04048118, Z=0,2912685
Posicao do objeto Real no Unity: X=-0,1769353, Y=1,077527, Z=3,603271
Posicao do objeto Virtual: X=-0,07503167, Y=-0,04011735, Z=0,2902473
Posicao do objeto Real no Unity: X=-0,2067812, Y=1,083104, Z=3,598311
Posicao do objeto Virtual: X=-0,0751974, Y=-0,04017558, Z=0,290567
Posicao do objeto Real no Unity: X=-0,1725249, Y=1,081883, Z=3,604796
Posicao do objeto Virtual: X=-0,07548779, Y=-0,03963785, Z=0,290872
Posicao do objeto Real no Unity: X=-0,1924164, Y=1,077879, Z=3,599262
Posicao do objeto Virtual: X=-0,0755612, Y=-0,04018809, Z=0,2897419
Posicao do objeto Real no Unity: X=-0,2227442, Y=1,088938, Z=3,593754
Posicao do objeto Virtual: X=-0,07556468, Y=-0,0391806, Z=0,2896982
Posicao do objeto Real no Unity: X=-0,1999025, Y=1,096298, Z=3,598111
Posicao do objeto Virtual: X=-0,07494634, Y=-0,03758998, Z=0,2897457
Posicao do objeto Real no Unity: X=-0,1985238, Y=1,120932, Z=3,596723
