real_x,real_y,real_z,virtual_x,virtual_y,virtual_z
-0.5212815,1.214937,3.504023,-0.1071293,-0.0508801,0.2882776
-0.5495037,1.213274,3.496547,-0.1076129,-0.0510183,0.2884234
-0.5068645,1.206935,3.509969,-0.1080117,-0.05050674,0.2886611
-0.5840583,1.233702,3.486047,-0.1139529,-0.05408522,0.2899166
-0.6258136,1.244273,3.47117,-0.1182767,-0.05695455,0.2898717
-0.6760655,1.257488,3.452824,-0.1185197,-0.05820829,0.2902187
-0.7022682,1.238375,3.444378,-0.121994,-0.06142248,0.2893449
-0.7256522,1.268508,3.43629,-0.1236433,-0.06280924,0.2919697
-0.7885985,1.25502,3.415322,-0.1268572,-0.06514914,0.2919886
-0.76521,1.270593,3.424491,-0.1282514,-0.06605924,0.2934924
-0.7652375,1.252322,3.421952,-0.1308292,-0.06828574,0.2908522
-0.7353419,1.215488,3.434713,-0.1300799,-0.06756981,0.2890387
-0.8074129,1.219835,3.403831,-0.1289015,-0.06656005,0.2870455
-0.7940779,1.213291,3.409527,-0.1283002,-0.06652848,0.2869886
-0.7461414,1.220739,3.429129,-0.1294129,-0.06657436,0.2882648
-0.7684276,1.222781,3.419614,-0.1293021,-0.06666882,0.2877052
-0.7810964,1.219096,3.414827,-0.1283597,-0.06614003,0.2873725
-0.7824918,1.2208,3.415113,-0.1277075,-0.06608812,0.2880532
-0.7771692,1.218711,3.418438,-0.1268543,-0.06512757,0.2884792
-0.7832199,1.240179,3.411646,-0.1251838,-0.06462598,0.2878634
-0.7740766,1.232651,3.416416,-0.1254955,-0.06482524,0.288021
-0.764211,1.226091,3.420533,-0.1253313,-0.0649769,0.2878709
-0.7889125,1.223448,3.411078,-0.1246852,-0.06431172,0.2874731
-0.7623975,1.235943,3.419794,-0.1254743,-0.06553513,0.2880386
-0.7504693,1.210373,3.426232,-0.1231907,-0.06433105,0.2873836
-0.7372299,1.216255,3.429322,-0.1232327,-0.06473323,0.2870827
-0.8107615,1.268264,3.403969,-0.1225582,-0.06381707,0.2919792
-0.7428113,1.255088,3.431139,-0.1213497,-0.06257565,0.2916707
-0.7238829,1.258018,3.439875,-0.1196452,-0.06113881,0.2928168
-0.6832741,1.238567,3.451008,-0.1153533,-0.05802552,0.2896085
-0.7000213,1.267171,3.444156,-0.1140853,-0.05738373,0.2913404
-0.6767874,1.257832,3.453478,-0.1118723,-0.0554977,0.2910832
-0.6726832,1.25685,3.454494,-0.1096435,-0.05328106,0.2904454
-0.6575269,1.248073,3.459699,-0.1076996,-0.05065052,0.2892219
-0.6176351,1.275131,3.471227,-0.09977168,-0.04648572,0.2907306
-0.5645474,1.273746,3.487624,-0.09429044,-0.04234863,0.2900664
-0.5418756,1.285909,3.493341,-0.09113872,-0.04030713,0.2904714
-0.4863682,1.264443,3.508135,-0.08783829,-0.03825156,0.2878613
-0.4631126,1.282943,3.512841,-0.08612639,-0.03697015,0.2885219
-0.4105552,1.275671,3.529512,-0.07817662,-0.03565773,0.2900575
-0.31995,1.25187,3.553065,-0.07458407,-0.03525633,0.289732
-0.2370246,1.182811,3.576161,-0.06517437,-0.0346307,0.2883681
-0.1953185,1.150774,3.586148,-0.06175181,-0.03412198,0.287084
-0.1081948,1.136846,3.601214,-0.05652341,-0.03462526,0.2866399
0.008191586,1.073282,3.625446,-0.04929206,-0.03193969,0.2862477
0.0230996,1.100242,3.62728,-0.04740074,-0.03179091,0.2881472
0.08950824,1.072515,3.639814,-0.04130119,-0.03026865,0.289431
0.1546483,1.041042,3.648302,-0.03400299,-0.02961421,0.2880815
0.2028069,1.010988,3.656082,-0.0304825,-0.02865277,0.288183
0.1883628,1.070758,3.656222,-0.01586744,-0.02530879,0.2899141
0.2828679,1.044247,3.663699,-0.008858383,-0.02369349,0.2882625
0.3692417,1.007722,3.668323,-0.001815736,-0.02085944,0.285531
0.417255,1.000994,3.673254,0.00269933,-0.01886815,0.2865274
0.4357275,0.9909874,3.672318,0.005050361,-0.0169856,0.2846389
0.4928069,0.9963008,3.67223,0.008539781,-0.01662049,0.2853956
0.4958465,0.9888873,3.674672,0.01332334,-0.0147292,0.2849388
0.5083067,1.001089,3.672381,0.01626845,-0.01402369,0.284353
0.5507095,0.9765177,3.674961,0.01895176,-0.01289296,0.2843146
0.6090651,1.065429,3.675792,0.02453358,-0.009264201,0.2915282
0.5660291,1.130998,3.672691,0.02521911,-0.008250386,0.294198
0.5389574,1.13416,3.669824,0.02509367,-0.008342564,0.2917945
0.4876382,1.224091,3.663311,0.02612416,-0.009152859,0.2974908
0.4994878,1.201772,3.664929,0.02807538,-0.007742465,0.2951983
0.5205982,1.189245,3.665495,0.0296802,-0.008188784,0.2945685
0.5419928,1.188008,3.664081,0.03204825,-0.00730148,0.2936999
0.5570329,1.164743,3.66803,0.0338098,-0.006613612,0.2930976
