Posicao do objeto Real no Unity: X=-1,201706, Y=2,427473, Z=2,577538
Posicao do objeto Virtual: X=0,01270938, Y=-0,05681646, Z=0,6117133
Posicao do objeto Real no Unity: X=-1,248333, Y=2,442799, Z=2,519448
Posicao do objeto Virtual: X=0,01392102, Y=-0,0559575, Z=0,6125524
Posicao do objeto Real no Unity: X=-1,277, Y=2,451214, Z=2,479806
Posicao do objeto Virtual: X=0,01460844, Y=-0,05556667, Z=0,611864
Posicao do objeto Real no Unity: X=-1,323032, Y=2,443877, Z=2,444699
Posicao do objeto Virtual: X=0,01579678, Y=-0,05539107, Z=0,6099325
Posicao do objeto Real no Unity: X=-1,24658, Y=2,456375, Z=2,50239
Posicao do objeto Virtual: X=0,01536852, Y=-0,0549252, Z=0,6137208
Posicao do objeto Real no Unity: X=-1,257254, Y=2,459951, Z=2,488872
Posicao do objeto Virtual: X=0,01515365, Y=-0,05428231, Z=0,6134408
Posicao do objeto Real no Unity: X=-1,296531, Y=2,444948, Z=2,477159
Posicao do objeto Virtual: X=0,0154891, Y=-0,05392313, Z=0,6121662
Posicao do objeto Real no Unity: X=-1,31034, Y=2,464759, Z=2,432129
Posicao do objeto Virtual: X=0,01603609, Y=-0,05294275, Z=0,611766
Posicao do objeto Real no Unity: X=-1,247761, Y=2,442345, Z=2,52366
Posicao do objeto Virtual: X=0,01640278, Y=-0,05258417, Z=0,6117232
Posicao do objeto Real no Unity: X=-1,219003, Y=2,433897, Z=2,555495
Posicao do objeto Virtual: X=0,0173226, Y=-0,05255449, Z=0,610446
Posicao do objeto Real no Unity: X=-1,252963, Y=2,448925, Z=2,50507
Posicao do objeto Virtual: X=0,01748532, Y=-0,05250973, Z=0,6109216
Posicao do objeto Real no Unity: X=-1,268245, Y=2,446443, Z=2,49668
Posicao do objeto Virtual: X=0,01791984, Y=-0,05140519, Z=0,6101841
Posicao do objeto Real no Unity: X=-1,210577, Y=2,425632, Z=2,576958
Posicao do objeto Virtual: X=0,0189482, Y=-0,05085015, Z=0,6104892
